|货号|价格|
|----|----|
|207-4|14.3|
|207-5|20.5|
|960-2|3.0|
|960-3|5.0|
|960-4|14.3|
|960-5|20.0|
|912-2|3.0|
|912-3|5.0|
|912-4|14.3|
|912-5|20.0|
|072-2|3.1|
|072-3|5.1|
|072-4|14.3|
|072-5|20.0|
|207-2|3.1|
|207-3|5.1|
|7530（纱布毛巾）|7.5|
|2023|6.8|
|7343|5.3|
|0559|6.8|
|7780|7.45|
|7889|6.9|
|7115（纱布毛巾）|7.5|
|7550|6.9|
|3333|3.6|
|3345|3.6|
|3348|3.6|
|1122|3.9|
|7549|6.8|
|7579|6.9|
|9991|6.2|
|8228|6.2|
|9063|5.5|
|9669|6.9|
|4141|3.9|
|4142|3.9|
|4143|3.9|
|6901|3.9|
|6903|3.9|
|6905|3.9|
|9112|6.2|
|7115|7.5|
|7530|7.5|
|7981|6.9|
|2288|3.9|
|7530日风细格纱布毛巾|7.5|
|7115（星爱纱布毛巾）|7.5|
|7550椰树提花毛巾|6.9|
|2023圆斑双色毛巾|6.8|
|8228字母G毛巾|6.2|
|7343mini毛巾|5.3|
|5240珍珠格毛巾|5.0|
|9063时尚条纹毛巾|5.5|
|9991绿叶毛巾|6.2|
|6020幸运毛巾|7.6|
|7889低像素毛巾|6.9|
|7440|3.6|
|7449|5.8|
|7658|5.9|
|7677|5.0|
|7736|5.2|
|8225|5.3|
|8445|5.2|
|9115|5.3|
|9665|5.3|
